"","DATE","OK.ALL","OK.CAL","MAE.OK","RMSE.OK"
"result.1","01-01-14",0.3153,0.3153,0.0837,0.0895
"result.2","02-01-14",0.3739,0.3739,0.0335,0.0358
"result.3","03-01-14",0,0,0,0
"result.4","04-01-14",0.1892,0.1892,0.0502,0.0537
"result.5","05-01-14",0.3694,0.3694,0.1675,0.179
"result.6","06-01-14",0.3,0.3,0,0
"result.7","07-01-14",0,0,0,0
"result.8","08-01-14",0.3,0.3,0,0
"result.9","09-01-14",4.3535,4.3535,1.1642,1.2548
"result.10","10-01-14",1.1989,1.1989,0.3211,0.3469
"result.11","11-01-14",0.1892,0.1892,0.0502,0.0537
"result.12","12-01-14",0.7734,0.7734,0.127,0.1378
"result.13","13-01-14",0.3,0.3,0,0
"result.14","14-01-14",0,0,0,0
"result.15","15-01-14",0.1108,0.1108,0.0502,0.0537
"result.16","16-01-14",1.0886,1.0886,0.2108,0.227
"result.17","17-01-14",0.9059,0.9059,0.0237,0.0279
"result.18","18-01-14",0.1108,0.1108,0.0502,0.0537
"result.19","19-01-14",2.5512,2.5512,0.543,0.579
"result.20","20-01-14",0.6473,0.6473,0.0935,0.1023
"result.21","21-01-14",1.7039,1.7039,0.6365,0.6801
"result.22","22-01-14",0.5364,0.5364,0.1438,0.1556
"result.23","23-01-14",0.6473,0.6473,0.0935,0.1023
"result.24","24-01-14",0.1892,0.1892,0.0502,0.0537
"result.25","25-01-14",0,0,0,0
"result.26","26-01-14",0.1892,0.1892,0.0502,0.0537
"result.27","27-01-14",0.1108,0.1108,0.0502,0.0537
"result.28","28-01-14",0.3,0.3,0,0
"result.29","29-01-14",0.0932,0.0932,0.0437,0.0464
"result.30","30-01-14",0.0932,0.0932,0.0437,0.0464
"result.31","31-01-14",0,0,0,0
